 2THETA, PSD
  49.9680,  212
  50.0149,  205
  50.0618,  208
  50.1087,  219
  50.1556,  209
  50.2026,  206
  50.2495,  238
  50.2964,  223
  50.3433,  203
  50.3902,  220
  50.4371,  218
  50.4840,  223
  50.5309,  225
  50.5778,  204
  50.6248,  203
  50.6717,  207
  50.7186,  182
  50.7655,  206
  50.8124,  263
  50.8593,  210
  50.9062,  203
  50.9531,  219
  51.0000,  210
  51.0470,  216
  51.0939,  232
  51.1408,  229
  51.1877,  222
  51.2346,  249
  51.2815,  256
  51.3284,  243
  51.3753,  236
  51.4222,  254
  51.4691,  238
  51.5161,  246
  51.5630,  291
  51.6099,  351
  51.6568,  374
  51.7037,  427
  51.7506,  435
  51.7975,  548
  51.8444,  621
  51.8913,  760
  51.9383,  789
  51.9852,  888
  52.0321,  796
  52.0790,  730
  52.1259,  634
  52.1728,  515
  52.2197,  432
  52.2666,  344
  52.3135,  335
  52.3605,  297
  52.4074,  262
  52.4543,  286
  52.5012,  234
  52.5481,  208
  52.5950,  241
  52.6419,  215
  52.6888,  221
  52.7357,  212
  52.7826,  231
  52.8296,  225
  52.8765,  250
  52.9234,  215
  52.9703,  223
  53.0172,  217
  53.0641,  230
  53.1110,  196
  53.1579,  204
  53.2048,  223
  53.2518,  204
  53.2987,  203
  53.3456,  214
  53.3925,  208
  53.4394,  209
  53.4863,  196
  53.5332,  187
  53.5801,  220
  53.6270,  188
  53.6740,  185
  53.7209,  211
  53.7678,  208
  53.8147,  194
  53.8616,  197
  53.9085,  177
  53.9554,  241
  54.0023,  204
  54.0492,  233
  54.0962,  211
  54.1431,  194
  54.1900,  213
  54.2369,  210
  54.2838,  190
  54.3307,  224
  54.3776,  195
  54.4245,  244
  54.4714,  228
  54.5183,  192
  54.5653,  210
  54.6122,  219
  54.6591,  208
  54.7060,  223
  54.7529,  210
  54.7998,  236
  54.8467,  210
  54.8936,  216
  54.9405,  221
  54.9875,  221
  55.0344,  199
  55.0813,  254
  55.1282,  215
  55.1751,  247
  55.2220,  256
  55.2689,  234
  55.3158,  244
  55.3627,  252
  55.4097,  259
  55.4566,  243
  55.5035,  257
  55.5504,  285
  55.5973,  243
  55.6442,  291
  55.6911,  305
  55.7380,  290
  55.7849,  281
  55.8319,  284
  55.8788,  313
  55.9257,  263
  55.9726,  322
  56.0195,  298
  56.0664,  280
  56.1133,  324
  56.1602,  323
  56.2071,  348
  56.2540,  380
  56.3010,  398
  56.3479,  368
  56.3948,  419
  56.4417,  437
  56.4886,  449
  56.5355,  516
  56.5824,  526
  56.6293,  576
  56.6762,  612
  56.7232,  636
  56.7701,  707
  56.8170,  812
  56.8639, 1048
  56.9108, 1124
  56.9577, 1322
  57.0046, 1628
  57.0515, 1985
  57.0984, 2419
  57.1454, 3183
  57.1923, 3978
  57.2392, 5212
  57.2861, 6668
  57.3330, 8137
  57.3799, 9137
  57.4268, 9350
  57.4737, 9097
  57.5206, 8231
  57.5676, 7019
  57.6145, 5779
  57.6614, 4385
  57.7083, 3465
  57.7552, 2652
  57.8021, 2079
  57.8490, 1619
  57.8959, 1312
  57.9428, 1131
  57.9897,  914
  58.0367,  838
  58.0836,  733
  58.1305,  730
  58.1774,  645
  58.2243,  557
  58.2712,  556
  58.3181,  478
  58.3650,  451
  58.4119,  404
  58.4589,  426
  58.5058,  385
  58.5527,  391
  58.5996,  344
  58.6465,  335
  58.6934,  341
  58.7403,  297
  58.7872,  326
  58.8341,  304
  58.8811,  311
  58.9280,  299
  58.9749,  264
  59.0218,  286
  59.0687,  277
  59.1156,  281
  59.1625,  284
  59.2094,  263
  59.2563,  236
  59.3033,  256
  59.3502,  238
  59.3971,  217
  59.4440,  226
  59.4909,  231
  59.5378,  237
  59.5847,  226
  59.6316,  223
  59.6785,  201
  59.7254,  215
  59.7724,  221
  59.8193,  232
  59.8662,  215
  59.9131,  201
  59.9600,  232
  60.0069,  206
  60.0538,  225
  60.1007,  236
  60.1476,  186
  60.1946,  218
  60.2415,  213
  60.2884,  186
  60.3353,  187
  60.3822,  202
  60.4291,  193
  60.4760,  204
  60.5229,  210
  60.5698,  227
  60.6168,  189
  60.6637,  201
  60.7106,  207
  60.7575,  199
  60.8044,  200
  60.8513,  187
  60.8982,  191
  60.9451,  187
  60.9920,  192
  61.0390,  202
  61.0859,  185
  61.1328,  189
  61.1797,  180
  61.2266,  189
  61.2735,  194
  61.3204,  196
  61.3673,  178
  61.4142,  177
  61.4611,  180
  61.5081,  193
  61.5550,  204
  61.6019,  165
  61.6488,  210
  61.6957,  188
  61.7426,  182
  61.7895,  176
  61.8364,  170
  61.8833,  177
  61.9303,  191
  61.9772,  181
  62.0241,  186
  62.0710,  202
  62.1179,  185
  62.1648,  184
  62.2117,  177
  62.2586,  186
  62.3055,  172
  62.3525,  199
  62.3994,  186
  62.4463,  188
  62.4932,  142
  62.5401,  164
  62.5870,  180
  62.6339,  181
  62.6808,  195
  62.7277,  179
  62.7747,  170
  62.8216,  184
  62.8685,  160
  62.9154,  177
  62.9623,  192
  63.0092,  189
  63.0561,  184
  63.1030,  177
  63.1499,  175
  63.1968,  168
  63.2438,  191
  63.2907,  182
  63.3376,  159
  63.3845,  161
  63.4314,  170
  63.4783,  182
  63.5252,  174
  63.5721,  171
  63.6190,  172
  63.6660,  174
  63.7129,  189
  63.7598,  167
  63.8067,  192
  63.8536,  187
  63.9005,  188
  63.9474,  171
  63.9943,  175
  64.0412,  175
  64.0882,  159
  64.1351,  177
  64.1820,  167
  64.2289,  174
  64.2758,  179
  64.3227,  146
  64.3696,  169
  64.4165,  174
  64.4634,  181
  64.5103,  141
  64.5573,  176
  64.6042,  165
  64.6511,  172
  64.6980,  195
  64.7449,  165
  64.7918,  193
  64.8387,  172
  64.8856,  188
  64.9325,  177
  64.9795,  177
  65.0264,  208
  65.0733,  183
  65.1202,  182
  65.1671,  165
  65.2140,  188
  65.2609,  198
  65.3078,  188
  65.3547,  203
  65.4017,  178
  65.4486,  181
  65.4955,  177
  65.5424,  226
  65.5893,  207
  65.6362,  204
  65.6831,  216
  65.7300,  212
  65.7769,  214
  65.8239,  218
  65.8708,  217
  65.9177,  213
  65.9646,  211
  66.0115,  224
  66.0584,  264
  66.1053,  245
  66.1522,  277
  66.1991,  284
  66.2460,  282
  66.2930,  310
  66.3399,  293
  66.3868,  272
  66.4337,  325
  66.4806,  308
  66.5275,  325
  66.5744,  343
  66.6213,  390
  66.6682,  400
  66.7152,  408
  66.7621,  476
  66.8090,  527
  66.8559,  605
  66.9028,  723
  66.9497,  776
  66.9966,  923
  67.0435, 1111
  67.0904, 1376
  67.1374, 1669
  67.1843, 2014
  67.2312, 2511
  67.2781, 3007
  67.3250, 3909
  67.3719, 4597
  67.4188, 5152
  67.4657, 5230
  67.5126, 5094
  67.5596, 4611
  67.6065, 4254
  67.6534, 3728
  67.7003, 3030
  67.7472, 2595
  67.7941, 2003
  67.8410, 1523
  67.8879, 1208
  67.9348, 1040
  67.9817,  853
  68.0287,  740
  68.0756,  642
  68.1225,  531
  68.1694,  513
  68.2163,  405
  68.2632,  411
  68.3101,  347
  68.3570,  361
  68.4039,  267
  68.4509,  303
  68.4978,  284
  68.5447,  272
  68.5916,  279
  68.6385,  264
  68.6854,  277
  68.7323,  270
  68.7792,  229
  68.8261,  238
  68.8731,  225
  68.9200,  227
  68.9669,  209
  69.0138,  209
  69.0607,  202
  69.1076,  192
  69.1545,  201
  69.2014,  195
  69.2483,  179
  69.2953,  204
  69.3422,  187
  69.3891,  187
  69.4360,  187
  69.4829,  214
  69.5298,  185
  69.5767,  188
  69.6236,  172
  69.6705,  164
  69.7174,  165
  69.7644,  163
  69.8113,  153
  69.8582,  156
  69.9051,  208
  69.9520,  181
  69.9989,  173
  70.0458,  174
  70.0927,  153
  70.1396,  170
  70.1866,  137
  70.2335,  140
  70.2804,  141
  70.3273,  153
  70.3742,  169
  70.4211,  147
  70.4680,  155
  70.5149,  192
  70.5618,  158
  70.6088,  165
  70.6557,  137
  70.7026,  175
  70.7495,  168
  70.7964,  153
  70.8433,  161
  70.8902,  151
  70.9371,  140
  70.9840,  142
  71.0310,  175
  71.0779,  175
  71.1248,  157
  71.1717,  165
  71.2186,  173
  71.2655,  166
  71.3124,  185
  71.3593,  172
  71.4062,  180
  71.4531,  167
  71.5001,  149
  71.5470,  178
  71.5939,  171
  71.6408,  182
  71.6877,  171
  71.7346,  187
  71.7815,  210
  71.8284,  212
  71.8753,  254
  71.9223,  245
  71.9692,  280
  72.0161,  292
  72.0630,  353
  72.1099,  399
  72.1568,  401
  72.2037,  417
  72.2506,  406
  72.2975,  381
  72.3445,  388
  72.3914,  316
  72.4383,  334
  72.4852,  297
  72.5321,  255
  72.5790,  232
  72.6259,  235
  72.6728,  221
  72.7197,  199
  72.7667,  207
  72.8136,  190
  72.8605,  171
  72.9074,  149
  72.9543,  162
  73.0012,  169
  73.0481,  158
  73.0950,  145
  73.1419,  160
  73.1888,  175
  73.2358,  151
  73.2827,  157
  73.3296,  137
  73.3765,  177
  73.4234,  142
  73.4703,  147
  73.5172,  140
  73.5641,  133
  73.6110,  149
  73.6580,  179
  73.7049,  140
  73.7518,  175
  73.7987,  156
  73.8456,  155
  73.8925,  170
  73.9394,  151
  73.9863,  134
  74.0332,  173
  74.0802,  159
  74.1271,  174
  74.1740,  147
  74.2209,  160
  74.2678,  163
  74.3147,  159
  74.3616,  154
  74.4085,  150
  74.4554,  188
  74.5024,  173
  74.5493,  175
  74.5962,  163
  74.6431,  152
  74.6900,  179
  74.7369,  197
  74.7838,  161
  74.8307,  173
  74.8776,  180
  74.9245,  183
  74.9715,  181
  75.0184,  188
  75.0653,  200
  75.1122,  186
  75.1591,  176
  75.2060,  195
  75.2529,  201
  75.2998,  215
  75.3467,  186
  75.3937,  179
  75.4406,  202
  75.4875,  199
  75.5344,  181
  75.5813,  201
  75.6282,  212
  75.6751,  211
  75.7220,  226
  75.7689,  241
  75.8159,  270
  75.8628,  263
  75.9097,  243
  75.9566,  293
  76.0035,  315
  76.0504,  323
  76.0973,  350
  76.1442,  365
  76.1911,  417
  76.2380,  471
  76.2850,  584
  76.3319,  603
  76.3788,  678
  76.4257,  812
  76.4726,  957
  76.5195, 1138
  76.5664, 1473
  76.6133, 1659
  76.6602, 2041
  76.7072, 2469
  76.7541, 2825
  76.8010, 2910
  76.8479, 3133
  76.8948, 2957
  76.9417, 2717
  76.9886, 2503
  77.0355, 2287
  77.0824, 1938
  77.1294, 1723
  77.1763, 1450
  77.2232, 1188
  77.2701,  911
  77.3170,  787
  77.3639,  697
  77.4108,  571
  77.4577,  498
  77.5046,  468
  77.5516,  411
  77.5985,  358
  77.6454,  329
  77.6923,  318
  77.7392,  312
  77.7861,  258
  77.8330,  279
  77.8799,  266
  77.9268,  240
  77.9737,  215
  78.0207,  225
  78.0676,  225
  78.1145,  228
  78.1614,  202
  78.2083,  230
  78.2552,  203
  78.3021,  210
  78.3490,  173
  78.3959,  199
  78.4429,  175
  78.4898,  192
  78.5367,  170
  78.5836,  158
  78.6305,  180
  78.6774,  163
  78.7243,  169
  78.7712,  179
  78.8181,  196
  78.8651,  173
  78.9120,  178
  78.9589,  154
  79.0058,  163
  79.0527,  141
  79.0996,  180
  79.1465,  147
  79.1934,  159
  79.2403,  195
  79.2873,  155
  79.3342,  142
  79.3811,  198
  79.4280,  163
  79.4749,  159
  79.5218,  154
  79.5687,  170
  79.6156,  165
  79.6625,  147
  79.7094,  145
  79.7564,  194
  79.8033,  142
  79.8502,  175
  79.8971,  158
  79.9440,  187
  79.9909,  164
  80.0378,  168
  80.0847,  186
  80.1316,  182
  80.1786,  152
  80.2255,  152
  80.2724,  198
  80.3193,  167
  80.3662,  168
  80.4131,  183
  80.4600,  184
  80.5069,  219
  80.5538,  190
  80.6008,  228
  80.6477,  221
  80.6946,  243
  80.7415,  250
  80.7884,  261
  80.8353,  307
  80.8822,  314
  80.9291,  317
  80.9760,  394
  81.0230,  450
  81.0699,  528
  81.1168,  569
  81.1637,  681
  81.2106,  820
  81.2575,  953
  81.3044, 1003
  81.3513, 1057
  81.3982, 1021
  81.4451, 1008
  81.4921,  939
  81.5390,  886
  81.5859,  824
  81.6328,  765
  81.6797,  657
  81.7266,  570
  81.7735,  466
  81.8204,  401
  81.8673,  379
  81.9143,  349
  81.9612,  295
  82.0081,  237
  82.0550,  232
  82.1019,  234
  82.1488,  226
  82.1957,  228
  82.2426,  199
  82.2895,  202
  82.3365,  193
  82.3834,  163
  82.4303,  166
  82.4772,  199
  82.5241,  179
  82.5710,  188
  82.6179,  172
  82.6648,  171
  82.7117,  170
  82.7587,  186
  82.8056,  155
  82.8525,  166
  82.8994,  154
  82.9463,  143
  82.9932,  162
  83.0401,  156
  83.0870,  158
  83.1339,  145
  83.1808,  137
  83.2278,  147
  83.2747,  147
  83.3216,  161
  83.3685,  136
  83.4154,  158
  83.4623,  157
  83.5092,  151
  83.5561,  147
  83.6030,  158
  83.6500,  156
  83.6969,  151
  83.7438,  164
  83.7907,  125
  83.8376,  152
  83.8845,  145
  83.9314,  139
  83.9783,  145
  84.0252,  186
  84.0722,  163
  84.1191,  152
  84.1660,  162
  84.2129,  145
  84.2598,  147
  84.3067,  165
  84.3536,  163
  84.4005,  161
  84.4474,  187
  84.4944,  166
  84.5413,  158
  84.5882,  177
  84.6351,  178
  84.6820,  178
  84.7289,  169
  84.7758,  209
  84.8227,  199
  84.8696,  209
  84.9165,  215
  84.9635,  220
  85.0104,  227
  85.0573,  230
  85.1042,  221
  85.1511,  242
  85.1980,  271
  85.2449,  260
  85.2918,  319
  85.3387,  360
  85.3857,  415
  85.4326,  406
  85.4795,  530
  85.5264,  605
  85.5733,  690
  85.6202,  806
  85.6671,  967
  85.7140, 1098
  85.7609, 1249
  85.8079, 1352
  85.8548, 1386
  85.9017, 1389
  85.9486, 1274
  85.9955, 1238
  86.0424, 1187
  86.0893,  981
  86.1362,  901
  86.1831,  893
  86.2301,  731
  86.2770,  604
  86.3239,  527
  86.3708,  440
  86.4177,  382
  86.4646,  343
  86.5115,  300
  86.5584,  282
  86.6053,  271
  86.6522,  242
  86.6992,  247
  86.7461,  207
  86.7930,  232
  86.8399,  196
  86.8868,  175
  86.9337,  197
  86.9806,  183
  87.0275,  162
  87.0744,  170
  87.1214,  170
  87.1683,  161
  87.2152,  175
  87.2621,  139
  87.3090,  167
  87.3559,  165
  87.4028,  148
  87.4497,  149
  87.4966,  149
  87.5436,  161
  87.5905,  142
  87.6374,  134
  87.6843,  144
  87.7312,  171
  87.7781,  139
  87.8250,  131
  87.8719,  165
  87.9188,  144
  87.9657,  144
  88.0127,  154
  88.0596,  154
  88.1065,  145
  88.1534,  155
  88.2003,  130
  88.2472,  148
  88.2941,  144
  88.3410,  161
  88.3879,  135
  88.4349,  165
  88.4818,  145
  88.5287,  152
  88.5756,  121
  88.6225,  133
  88.6694,  139
  88.7163,  132
  88.7632,  112
  88.8101,  146
  88.8571,  130
  88.9040,  143
  88.9509,  150
  88.9978,  170
  89.0447,  158
  89.0916,  136
  89.1385,  125
  89.1854,  125
  89.2323,  161
  89.2793,  154
  89.3262,  129
  89.3731,  154
  89.4200,  158
  89.4669,  158
  89.5138,  153
  89.5607,  157
  89.6076,  176
  89.6545,  149
  89.7014,  180
  89.7484,  131
  89.7953,  143
  89.8422,  177
  89.8891,  182
  89.9360,  180
  89.9829,  189
